text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
design thinking = abductive thinking user centered generative exploratory collaborative #dtpi,,missmoss,10572655325,554814,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/758527847/behance_profile_image_normal.jpg,,0,0,Tue 16 Mar 2010 14:41:45 +0000,1268750505
#dtpi,,jheliene,10572666577,102952300,en,&lt;a href=&quot;http://www.twittergadget.com&quot; rel=&quot;nofollow&quot;&gt;TwitterGadget&lt;/a&gt;,http://s.twimg.com/a/1268687377/images/default_profile_2_normal.png,,0,0,Tue 16 Mar 2010 14:42:03 +0000,1268750523
#dtpi showing great examples of Theo Jansen the merging of art and engineering and design thinking - love him http://bit.ly/cfDthv,,HeatherLaGarde,10572697022,2502731,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/344716994/heatheravatar_normal.jpg,,0,0,Tue 16 Mar 2010 14:42:49 +0000,1268750569
#dtpi it seems to me most design thinkers unfortunately allow the limitations of their platform to constrain design too much.,,hankwilliams,10572699804,203663,en,&lt;a href=&quot;http://twitterrific.com&quot; rel=&quot;nofollow&quot;&gt;Twitterrific&lt;/a&gt;,http://a1.twimg.com/profile_images/52697062/P1010003_normal.jpg,,0,0,Tue 16 Mar 2010 14:42:53 +0000,1268750573
graph on analytical vs. design thinking. A business needs both #dtpi,,missmoss,10572708301,554814,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/758527847/behance_profile_image_normal.jpg,,0,0,Tue 16 Mar 2010 14:43:07 +0000,1268750587
Design vs Analytic Thinking - Exploring vs Reducing - Transformative vs Incremental #dtpi,,saintsal,10572716944,10786345,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a1.twimg.com/profile_images/590657596/SaintSal_normal.jpg,,0,0,Tue 16 Mar 2010 14:43:19 +0000,1268750599
Nieters says the best innovation comes from triumvirate of tech dev design and product marketers. Wonder if rest of panel agrees #dtpi ^zp,,20tonideas,10572743600,17699418,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/334766500/Proportional_normal.jpg,,0,0,Tue 16 Mar 2010 14:43:59 +0000,1268750639
attending #dtpi panel w/ reps from BBC R&amp;D FourSquare Yahoo and Sapp Labs #sxsw,,HeatherLaGarde,10572747002,2502731,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/344716994/heatheravatar_normal.jpg,,0,0,Tue 16 Mar 2010 14:44:05 +0000,1268750645
#dtpi  Kearney positions himself as no fluff guy,,rolandk,10572765031,4888234,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/754253581/brain_normal.jpg,,0,0,Tue 16 Mar 2010 14:44:32 +0000,1268750672
Think not of 'cool' but how to solve problem or meet an unmet need. Invent something that reduces friction in another's lives. #dtpi,,SuziDafnis,10572772337,744060,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a1.twimg.com/profile_images/55719992/suzi_dafnis-1_normal.jpg,,0,0,Tue 16 Mar 2010 14:44:42 +0000,1268750682
Creating something new is meeting an unmet need. - Kearney  #dtpi #sxswi,,tyeshasnow,10572784060,6153802,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/381892142/tywindow_normal.jpg,,0,0,Tue 16 Mar 2010 14:44:59 +0000,1268750699
Most of the buzzwords around design ('immersive' 'engaging') just mean &quot;cool&quot; #dtpi #sxswi,,patrickgmj,10572785813,4985,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/81750787/mea_normal.jpg,,0,0,Tue 16 Mar 2010 14:45:01 +0000,1268750701
Apple is not successful cause their products are cool (which they are) it's about products that help people's lives. #dtpi,,SuziDafnis,10572790828,744060,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a1.twimg.com/profile_images/55719992/suzi_dafnis-1_normal.jpg,,0,0,Tue 16 Mar 2010 14:45:09 +0000,1268750709
#dtpi the cool video shown is clearly example of design thinking as is th iPhone ui. But most people who fancy design thinkers are lame,,hankwilliams,10572797319,203663,en,&lt;a href=&quot;http://twitterrific.com&quot; rel=&quot;nofollow&quot;&gt;Twitterrific&lt;/a&gt;,http://a1.twimg.com/profile_images/52697062/P1010003_normal.jpg,,0,0,Tue 16 Mar 2010 14:45:18 +0000,1268750718
Most of the buzzwords around design ('immersive' 'engaging') just mean &quot;cool&quot; #dtpi #sxswi /via @patrickgmj,,mosaicmoon,10572806084,186280,en,&lt;a href=&quot;http://www.atebits.com/&quot; rel=&quot;nofollow&quot;&gt;Tweetie&lt;/a&gt;,http://a3.twimg.com/profile_images/271981099/squarephoto_normal.jpg,,0,0,Tue 16 Mar 2010 14:45:30 +0000,1268750730
Crappy design often comes from ECDs making decisions w/ goal of creating &quot;cool&quot; which actually isn't a differentiator. #dtpi,,zackolantern,10572815870,1685981,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/745003090/photo-1_normal.jpeg,,0,0,Tue 16 Mar 2010 14:45:44 +0000,1268750744
Like teens designs that try hard to be cool inevitably aren't #sxswi  #dtpi,,patrickgmj,10572818409,4985,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/81750787/mea_normal.jpg,,0,0,Tue 16 Mar 2010 14:45:48 +0000,1268750748
RT @SuziDafnis: Think not of 'cool' but how to solve problem or meet an unmet need. Invent something that reduces friction in another's lives. #dtpi,,mosaicmoon,10572818013,186280,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a3.twimg.com/profile_images/271981099/squarephoto_normal.jpg,,0,0,Tue 16 Mar 2010 14:45:48 +0000,1268750748
design thinking = abductive thinking user centered generative exploratory collaborative #dtpi /via @missmoss,,mosaicmoon,10572854283,186280,en,&lt;a href=&quot;http://www.atebits.com/&quot; rel=&quot;nofollow&quot;&gt;Tweetie&lt;/a&gt;,http://a3.twimg.com/profile_images/271981099/squarephoto_normal.jpg,,0,0,Tue 16 Mar 2010 14:46:41 +0000,1268750801
RT @patrickgmj: Like teens designs that try hard to be cool inevitably aren't #sxswi  #dtpi,,SuziDafnis,10572868634,744060,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/55719992/suzi_dafnis-1_normal.jpg,,0,0,Tue 16 Mar 2010 14:47:03 +0000,1268750823
RT @patrickgmj: Like teens designs that try hard to be cool inevitably aren't #sxswi  #dtpi,,missmoss,10572873437,554814,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/758527847/behance_profile_image_normal.jpg,,0,0,Tue 16 Mar 2010 14:47:11 +0000,1268750831
#dtpi what we can learn from movie interfaces is very little they advance the storyline - basta,,rolandk,10572879423,4888234,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/754253581/brain_normal.jpg,,0,0,Tue 16 Mar 2010 14:47:19 +0000,1268750839
Product are like kids in school those that try to to be cool ... aren't. @kkearney (paraphrased) #dtpi,,ryt,10572904857,3698032,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/526935245/ryansimpson1_bs-head_normal.png,,0,0,Tue 16 Mar 2010 14:47:56 +0000,1268750876
The only way you actually innovate - set yourself up to have insights into what people will want and do - that takes research. #dtpi,,SuziDafnis,10572906997,744060,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a1.twimg.com/profile_images/55719992/suzi_dafnis-1_normal.jpg,,0,0,Tue 16 Mar 2010 14:47:59 +0000,1268750879
a feature set is not a strategy &amp; a &quot;cool&quot; UI covering that up wont work #dtpi,,missmoss,10572908125,554814,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/758527847/behance_profile_image_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:01 +0000,1268750881
#dtpi A feature set is not a strategy.,,escuincle,10572909168,527194,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/752420754/gb_201001_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:03 +0000,1268750883
A feature set is not a product. Kearney #sxsw #dtpi,,crit,10572911330,18327,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/318761487/cmcdonald_me_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:07 +0000,1268750887
Only way to be successful in design is to set self up to gain insights #sxswi #dtpi,,patrickgmj,10572916726,4985,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/81750787/mea_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:14 +0000,1268750894
Kearney (Hard Candy Shell Razorfish Four Square) is hilarious  - great speaker #dtpi,,HeatherLaGarde,10572920224,2502731,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/344716994/heatheravatar_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:19 +0000,1268750899
RT @SuziDafnis: Apple is not successful cause their products are cool (which they are) it's about products that help people's lives. #dtpi,,Infinitaire,10572920512,100496812,en,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,http://a1.twimg.com/profile_images/733429102/smile_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:20 +0000,1268750900
A feature set is not a strategy - Kearney  #dtpi #sxswi #sxswlessons,,tyeshasnow,10572939096,6153802,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a1.twimg.com/profile_images/381892142/tywindow_normal.jpg,,0,0,Tue 16 Mar 2010 14:48:47 +0000,1268750927
#dtpi the homer car  http://bit.ly/aH0uR5,,rolandk,10572948241,4888234,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/754253581/brain_normal.jpg,,0,0,Tue 16 Mar 2010 14:49:00 +0000,1268750940
A feature set is not a strategy. Strategy has to be there from the beginning. Come up with idea and focus on that idea. #dtpi #sxsw,,mosaicmoon,10572948078,186280,en,&lt;a href=&quot;http://www.atebits.com/&quot; rel=&quot;nofollow&quot;&gt;Tweetie&lt;/a&gt;,http://a3.twimg.com/profile_images/271981099/squarephoto_normal.jpg,,0,0,Tue 16 Mar 2010 14:49:00 +0000,1268750940
Innovation = the reduction of complexity #dtpi,,missmoss,10572955265,554814,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/758527847/behance_profile_image_normal.jpg,,0,0,Tue 16 Mar 2010 14:49:11 +0000,1268750951
Innovation = the reduction of complexity #dtpi,,SuziDafnis,10572960832,744060,en,&lt;a href=&quot;http://www.seesmic.com/&quot; rel=&quot;nofollow&quot;&gt;Seesmic&lt;/a&gt;,http://a1.twimg.com/profile_images/55719992/suzi_dafnis-1_normal.jpg,,0,0,Tue 16 Mar 2010 14:49:19 +0000,1268750959
&quot;Innovation = reduction of complexity&quot; #sxswi #dtpi //but what about in ed. context? does complexity have a place in ed/learning,,patrickgmj,10572971424,4985,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/81750787/mea_normal.jpg,,0,0,Tue 16 Mar 2010 14:49:35 +0000,1268750975
